Zip,City,State,Latitude,Longitude,relevantFacilities
76034,Colleyville,TX,32.885062,-97.14923,"[232620, 234703, 233595, 232651, 233703, 233170, 233534, 234628, 232602, 232600, 234533, 232637, 232583, 232607, 232547]"
70630,Bell City,LA,30.077002,-93.03224,[]
70653,Merryville,LA,30.685274,-93.55827,"[232636, 232642]"
70785,Walker,LA,30.521962,-90.84035,[]
71362,Plaucheville,LA,30.945975,-91.95294,[]
63873,Portageville,MO,36.436042,-89.68851,"[232604, 233690, 234490]"
80419,Golden,CO,39.522014,-105.223945,"[231856, 231875, 232463, 232340, 232368, 233185, 234596, 231868, 234211, 233808, 234512, 234686, 231862]"
73937,Felt,OK,36.563865,-102.78868,[]
89439,Verdi,CA,39.523693,-120.03012,"[247867, 232858, 232902, 234382, 232869, 272246, 274314, 232137, 234135, 232888, 231953, 232769, 234172, 232767, 232186, 232349, 232871]"
90290,Topanga,CA,34.101447,-118.59933000000001,"[234555, 232498, 233735, 233381, 232138]"
92684,Westminster,CA,33.640302,-117.769442,"[234555, 233735, 232250, 231976, 234719]"
84631,Fillmore,UT,38.951694,-112.31666000000001,"[232231, 233371, 231917, 232413, 232227, 234297, 234245]"
85013,Phoenix,AZ,33.50711,-112.08483000000001,"[232355, 267559]"
87062,Veguita,NM,34.460462,-106.71878999999998,[234499]
94607,Oakland,CA,37.806427,-122.28898000000001,"[273757, 233359, 233537, 272229, 233404]"
98522,Adna,WA,46.571323,-123.29838400000001,"[232288, 234765, 119290]"
99522,Anchorage,AK,61.108864000000004,-149.440311,"[232213, 232324, 259345]"
50011,Ames,IA,42.035998,-93.465172,"[233516, 233413, 233594]"
50105,Gilbert,IA,42.110624,-93.64504000000001,"[233516, 233413, 233594]"
50588,Storm Lake,IA,42.646924,-95.1807,[]
50674,Sumner,IA,42.846877,-92.11188,[233697]
70755,Livonia,LA,30.568308000000002,-91.55075,[]
65265,Mexico,MO,39.179316,-91.88404,[233597]
